iteration,before,after,diff
721,650731766,650731785,19
722,650731986,650732004,18
723,650732209,650732228,19
724,650732429,650732448,19
725,650732649,650732668,19
726,650732870,650732889,19
727,650733093,650733111,18
728,650733313,650733332,19
729,650733535,650733554,19
730,650733758,650733778,20
731,650733979,650733998,19
732,650734200,650734218,18
733,650734421,650734439,18
734,650734644,650734662,18
735,650734866,650734884,18
736,650735086,650735104,18
737,650735324,650735343,19
738,650735546,650735563,17
739,650735765,650735783,18
740,650735988,650736006,18
741,650736212,650736231,19
742,650736432,650736451,19
743,650736655,650736673,18
744,650736877,650736895,18
745,650737097,650737114,17
746,650737317,650737335,18
747,650737538,650737556,18
748,650737760,650737779,19
749,650737980,650737999,19
750,650738200,650738219,19
751,650738420,650738439,19
752,650738641,650738659,18
753,650738860,650738879,19
754,650739081,650739100,19
755,650739301,650739320,19
756,650739536,650739554,18
757,650739755,650739774,19
758,650739975,650739994,19
759,650740196,650740213,17
760,650740415,650740433,18
761,650740636,650740655,19
762,650745122,650745148,26
763,650745370,650745389,19
764,650745598,650745617,19
765,650745821,650745839,18
766,650746042,650746060,18
767,650746262,650746281,19
768,650746483,650746502,19
769,650746705,650746722,17
770,650746922,650746941,19
771,650747146,650747164,18
772,650747367,650747387,20
773,650747590,650747609,19
774,650747810,650747829,19
775,650748032,650748051,19
776,650748253,650748271,18
777,650748473,650748492,19
778,650748693,650748713,20
779,650748915,650748934,19
780,650749136,650749155,19
781,650749358,650749376,18
782,650749577,650749596,19
783,650749797,650749816,19
784,650750017,650750036,19
785,650750237,650750255,18
786,650750456,650750474,18
787,650750676,650750695,19
788,650750901,650750919,18
789,650751119,650751138,19
790,650751341,650751359,18
791,650751564,650751582,18
792,650751784,650751804,20
793,650752005,650752024,19
794,650752224,650752243,19
795,650752445,650752463,18
796,650752666,650752684,18
797,650752887,650752906,19
798,650753106,650753126,20
799,650753328,650753345,17
800,650753550,650753568,18
801,650753769,650753788,19
802,650753990,650754008,18
803,650754210,650754230,20
804,650754431,650754450,19
805,650754651,650754670,19
806,650754870,650754890,20
807,650755093,650755111,18
808,650755316,650755334,18
809,650755538,650755556,18
810,650755759,650755778,19
811,650755978,650755998,20
812,650756199,650756218,19
813,650756421,650756440,19
814,650756643,650756661,18
815,650756863,650756882,19
816,650757084,650757103,19
817,650757306,650757325,19
818,650757526,650757545,19
819,650757747,650757765,18
820,650757970,650757989,19
821,650758191,650758208,17
822,650758411,650758429,18
823,650758631,650758648,17
824,650758852,650758870,18
825,650759073,650759091,18
826,650759293,650759311,18
827,650759513,650759532,19
828,650759734,650759752,18
829,650759958,650759976,18
830,650760178,650760197,19
831,650760400,650760418,18
832,650760623,650760641,18
833,650760843,650760861,18
834,650761064,650761081,17
835,650761288,650761305,17
836,650761510,650761530,20
837,650761732,650761750,18
838,650761952,650761971,19
839,650762172,650762191,19
840,650762392,650762410,18
841,650762615,650762633,18
842,650762835,650762853,18
843,650763055,650763074,19
844,650763277,650763296,19
845,650763499,650763517,18
846,650763724,650763743,19
847,650763947,650763965,18
848,650764170,650764188,18
849,650764391,650764409,18
850,650764613,650764633,20
851,650764834,650764852,18
852,650765055,650765073,18
853,650765275,650765295,20
854,650765498,650765516,18
855,650765720,650765739,19
856,650765942,650765961,19
857,650766162,650766181,19
858,650766386,650766404,18
859,650766607,650766626,19
860,650766829,650766846,17
861,650767050,650767069,19
862,650767273,650767292,19
863,650767498,650767517,19
864,650767719,650767738,19
865,650767942,650767961,19
866,650768164,650768182,18
867,650768386,650768405,19
868,650768610,650768628,18
869,650768830,650768848,18
870,650769049,650769068,19
871,650769274,650769293,19
872,650769495,650769512,17
873,650769717,650769735,18
874,650769937,650769956,19
875,650770158,650770177,19
876,650770379,650770398,19
877,650770603,650770622,19
878,650770824,650770843,19
879,650771048,650771067,19
880,650771271,650771290,19
881,650771493,650771511,18
882,650771716,650771733,17
883,650771935,650771953,18
884,650772157,650772176,19
885,650772379,650772398,19
886,650772601,650772619,18
887,650772821,650772839,18
888,650773042,650773061,19
889,650773282,650773301,19
890,650773502,650773520,18
891,650773724,650773742,18
892,650773945,650773963,18
893,650774166,650774184,18
894,650774386,650774404,18
895,650774606,650774625,19
896,650774827,650774845,18
897,650775048,650775068,20
898,650775269,650775288,19
899,650775491,650775511,20
900,650775713,650775731,18
901,650775934,650775953,19
902,650776155,650776173,18
903,650776380,650776399,19
904,650776601,650776619,18
905,650776824,650776842,18
906,650777045,650777065,20
907,650777265,650777283,18
908,650777486,650777504,18
909,650777707,650777726,19
910,650777929,650777947,18
911,650778150,650778168,18
912,650778370,650778389,19
913,650778593,650778612,19
914,650783483,650783510,27
915,650783748,650783767,19
916,650783977,650783996,19
917,650784202,650784221,19
918,650784425,650784444,19
919,650784644,650784662,18
920,650784867,650784885,18
921,650785088,650785107,19
922,650785311,650785329,18
923,650785531,650785550,19
924,650785750,650785769,19
925,650785972,650785990,18
926,650786193,650786211,18
927,650786416,650786435,19
928,650786636,650786655,19
929,650786858,650786876,18
930,650787078,650787099,21
931,650787298,650787317,19
932,650787521,650787540,19
933,650787741,650787760,19
934,650787961,650787981,20
935,650788181,650788200,19
936,650788403,650788422,19
937,650788623,650788641,18
938,650788843,650788862,19
939,650789064,650789082,18
940,650789283,650789302,19
941,650789504,650789522,18
942,650789730,650789749,19
943,650789955,650789973,18
944,650790179,650790198,19
945,650790400,650790420,20
946,650790620,650790638,18
947,650790841,650790860,19
948,650791061,650791080,19
949,650791282,650791301,19
950,650791504,650791522,18
951,650791728,650791746,18
952,650791951,650791970,19
953,650792175,650792195,20
954,650792396,650792415,19
955,650792617,650792636,19
956,650792839,650792857,18
957,650793061,650793080,19
958,650793283,650793302,19
959,650793503,650793523,20
960,650793724,650793744,20
961,650793947,650793967,20
962,650794168,650794187,19
963,650794389,650794408,19
964,650794610,650794628,18
965,650794831,650794850,19
966,650795052,650795071,19
967,650795273,650795292,19
968,650795494,650795512,18
969,650795716,650795734,18
970,650795938,650795956,18
971,650796161,650796179,18
972,650796382,650796401,19
973,650796605,650796623,18
974,650796827,650796845,18
975,650797047,650797065,18
976,650797270,650797288,18
977,650797489,650797508,19
978,650797712,650797731,19
979,650797938,650797957,19
980,650798159,650798179,20
981,650798380,650798399,19
982,650798602,650798620,18
983,650798822,650798841,19
984,650799043,650799062,19
985,650799266,650799285,19
986,650799488,650799508,20
987,650799712,650799731,19
988,650799935,650799954,19
989,650800158,650800176,18
990,650800378,650800397,19
991,650800602,650800620,18
992,650800825,650800842,17
993,650801045,650801064,19
994,650801269,650801288,19
995,650801492,650801511,19
996,650801712,650801732,20
997,650801934,650801953,19
998,650802156,650802175,19
999,650802394,650802412,18
