iteration,before,after,diff
747,577694999,577695030,31, 0
748,577695266,577695300,34, 0
749,577695535,577695567,32, 0
750,577695804,577695837,33, 0
751,577696073,577696105,32, 0
752,577696341,577696373,32, 0
753,577696609,577696642,33, 0
754,577696878,577696909,31, 0
755,577697146,577697179,33, 0
756,577697415,577697448,33, 0
757,577697683,577697717,34, 0
758,577697953,577697986,33, 0
759,577698224,577698256,32, 0
760,577698493,577698525,32, 0
761,577698761,577698794,33, 0
762,577699031,577699064,33, 0
763,577699299,577699333,34, 0
764,577699569,577699602,33, 0
765,577699841,577699874,33, 0
766,577700110,577700143,33, 0
767,577700381,577700414,33, 0
768,577700651,577700684,33, 0
769,577700920,577700953,33, 0
770,577701191,577701223,32, 0
771,577701459,577701492,33, 0
772,577701728,577701760,32, 0
773,577701997,577702029,32, 0
774,577702266,577702299,33, 0
775,577702536,577702568,32, 0
776,577702806,577702839,33, 0
777,577703075,577703108,33, 0
778,577703347,577703378,31, 0
779,577703616,577703649,33, 0
780,577703888,577703921,33, 0
781,577704158,577704192,34, 0
782,577704428,577704461,33, 0
783,577704697,577704730,33, 0
784,577704966,577705000,34, 0
785,577705236,577705268,32, 0
786,577705506,577705538,32, 0
787,577705775,577705808,33, 0
788,577706044,577706076,32, 0
789,577706314,577706345,31, 0
790,577706582,577706615,33, 0
791,577706854,577706886,32, 0
792,577707122,577707155,33, 0
793,577707409,577707441,32, 0
794,577707678,577707710,32, 0
795,577707948,577707981,33, 0
796,577708217,577708249,32, 0
797,577708486,577708518,32, 0
798,577708754,577708788,34, 0
799,577709025,577709058,33, 0
800,577709299,577709332,33, 0
801,577709569,577709601,32, 0
802,577709837,577709871,34, 0
803,577710108,577710140,32, 0
804,577710378,577710410,32, 0
805,577710647,577710679,32, 0
806,577710916,577710948,32, 0
807,577711187,577711218,31, 0
808,577711458,577711491,33, 0
809,577711726,577711759,33, 0
810,577712017,577712050,33, 0
811,577712286,577712318,32, 0
812,577712554,577712587,33, 0
813,577712823,577712857,34, 0
814,577713093,577713126,33, 0
815,577713362,577713395,33, 0
816,577713633,577713665,32, 0
817,577713902,577713934,32, 0
818,577714170,577714203,33, 0
819,577714440,577714473,33, 0
820,577714708,577714741,33, 0
821,577714978,577715012,34, 0
822,577721819,577721858,39, 0
823,577722141,577722174,33, 0
824,577722417,577722449,32, 0
825,577722692,577722723,31, 0
826,577722965,577722996,31, 0
827,577723233,577723265,32, 0
828,577723503,577723533,30, 0
829,577723770,577723801,31, 0
830,577724039,577724070,31, 0
831,577724306,577724339,33, 0
832,577724574,577724608,34, 0
833,577724845,577724875,30, 0
834,577725112,577725146,34, 0
835,577725381,577725414,33, 0
836,577725651,577725684,33, 0
837,577725921,577725953,32, 0
